x,delta_x,t,delta_t
0,1,0,0.04
50,1,0.31,0.04
100,1,0.64,0.04
150,1,1,0.04
200,1,1.34,0.04
250,1,1.64,0.04
300,1,1.99,0.04
350,1,2.36,0.04
400,1,2.68,0.04
450,1,3.04,0.04
500,1,3.4,0.04
550,1,3.76,0.04
600,1,4.08,0.04
650,1,4.44,0.04
700,1,4.8,0.04
750,1,5.12,0.04
800,1,5.44,0.04
850,1,5.8,0.04
900,1,6.16,0.04
950,1,6.44,0.04
1000,1,6.86,0.04
1050,1,7.12,0.04
1100,1,7.44,0.04
1150,1,7.76,0.04
1200,1,8.08,0.04
1250,1,8.44,0.04
25,1,0.16,0.04
75,1,0.48,0.04
125,1,0.82,0.04
175,1,1.2,0.04
225,1,1.52,0.04
275,1,1.84,0.04
325,1,2.22,0.04
375,1,2.54,0.04
425,1,2.9,0.04
475,1,3.2,0.04
525,1,3.56,0.04
575,1,3.88,0.04
625,1,4.24,0.04
